Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry
Kansas State University,3,4,Public,Great Plains,Small City,0.9591,19647,20140,0,0,0.7808,0.0408,0.058,0.0123,0.0045,0.0011,0.029,0.0585,0.0897,20140,10423,8154,0.8676,0.2526,0.5944,0.8119,0.1045,7.9,17000,22500,10500,0.959999979,0.479999989,20.79999924,76027.75,66719,6.269999981,475,5773,43300,39600
University of Puerto Rico-Mayaguez,3,4,Public,Outlying Areas,Small City,0.725,10697,14726,0,0,0,0,1,0,0,0,0,0,0.0526,14726,8372,6533,0.9807,0.6081,0.4284,0.8932,0.0546,11.6,5500,5500,5500,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
Embry-Riddle Aeronautical University-Worldwide,3,4,Private,Southeast,Small City,0.9944,9689,20932,0,0,0.4981,0.0791,0.0689,0.0235,0.0053,0.0065,0.0448,0.0206,0.7012,20932,4047,5326,0.4133,0.2531,0.5,0.617,0.8851,4.6,16500,26000,11750,0.910000026,0.479999989,23.22999954,71628,52839,7.300000191,226,2940,59200,53800
Ithaca College,3,4,Private,Mid-Atlantic,Small Suburb,0.666,6202,53521,0,0,0.6911,0.0468,0.0734,0.0303,0.0019,0.0006,0.0287,0.019,0.0129,53521,12032,8425,0.6671,0.1941,0.7575,0.8752,0.0099,1.7,23251,26300,9026,0.99000001,0.319999993,19.42000008,103308.55,92718,5.400000095,98,1827,48700,45600
Western Connecticut State University,3,4,Public,New England,Small City,0.6549,5184,19446,0,0,0.6798,0.1082,0.1462,0.0314,0.0021,0.0017,0.0102,0.0004,0.1535,19446,8964,8712,1,0.2835,0.4447,0.7426,0.1557,6.8,17050,24250,11000,0.959999979,0.430000007,21.37000084,76059.55,67834,4.409999847,110,1189,41800,38700
University of Puerto Rico-Bayamon,3,3,Public,Outlying Areas,Large Suburb,0.2547,4847,8509,0,0,0,0,1,0,0,0,0,0,0.1192,8509,4930,5738,0.7742,0.6527,0.3924,0.856,0.0802,11.9,4500,5500,4500,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
Wake Forest University,3,4,Private,Southeast,Mid-size City,0.352,4812,58260,0,0,0.76,0.065,0.0599,0.0486,0.0017,0.0006,0.0266,0.0374,0.0125,58260,26136,10928,0.8259,0.1202,0.8646,0.9294,0.0012,1.3,21000,22810,12750,0.959999979,0.270000011,19.37999916,124215.22,103314,5.329999924,38,595,66100,52800
Berklee College of Music,3,3,Private,New England,Large City,0.3617,4402,56335,0,0,0.3866,0.0534,0.0888,0.0338,0.0011,0.0018,0.0404,0.3105,0.1027,56335,20301,9480,0.3851,0.1889,0.4963,0.7986,0.1479,13.6,21046,27000,14000,0.980000019,0.370000005,20.79000092,94505.71,79421,6.550000191,182,1013,31400,26200
Worcester Polytechnic Institute,3,4,Private,New England,Mid-size City,0.5159,4012,55866,0,0,0.6451,0.0254,0.0723,0.0491,0.002,0,0.0302,0.1264,0.0297,55866,22494,8598,0.75,0.1508,0.8124,0.9589,0.014,3.7,27000,27000,22500,0.99000001,0.280000001,19.47999954,99994.76,93479,5.429999828,54,903,75300,75200
University of Puerto Rico-Arecibo,3,3,Public,Outlying Areas,Small City,0.5302,3654,11056,0,0,0,0,1,0,0,0,0,0,0.0613,11056,6585,6133,0.9158,0.8188,0.4004,0.7941,0.0575,11.9,4500,4600,4500,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
University of Puerto Rico-Humacao,3,3,Public,Outlying Areas,Large Suburb,0.4487,3383,11686,0,0,0.0059,0.0095,0.8835,0.0003,0,0.0003,0.0033,0.0006,0.0913,11686,9908,5812,0.8464,0.7527,0.4343,0.868,0.0658,11.8,4500,5000,3800,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
University of Puerto Rico-Ponce,3,3,Public,Outlying Areas,Mid-size City,0.6398,3120,13018,0,0,0,0,1,0,0,0,0,0,0.0766,13018,5276,5174,0.7072,0.8067,0.4072,0.8673,0.0756,11.9,5250,5500,4500,0.330000013,0.980000019,19.54999924,25464.65,22433.5,45.72999954,0,0,0,0
College of the Holy Cross,3,3,Private,New England,Mid-size City,0.3297,2878,56706,0,0,0.6807,0.0407,0.107,0.0452,0.0017,0,0.0299,0.009,0.0003,56706,18859,9666,0.8677,0.1627,0.9136,0.9515,0.0014,1.9,27000,27000,10900,0.949999988,0.25999999,19.31999969,125254.65,108458,5.579999924,31,513,66500,55800
Smith College,3,4,Private,New England,Large Suburb,0.4308,2606,57913,0,0,0.4589,0.048,0.0952,0.1251,0.0019,0.0004,0.048,0.1316,0.0081,57913,25233,11800,0.8329,0.2264,0.8613,0.937,0.038,3.1,19000,19500,8000,0.970000029,0.449999988,20.79000092,87888.48,68708.5,7.099999905,89,616,39700,37900
Clark University,3,4,Private,New England,Mid-size City,0.6154,2312,47248,0,0,0.6207,0.0389,0.064,0.0554,0.0004,0.0004,0.0229,0.1211,0.0216,47248,10780,9630,0.5838,0.2071,0.8094,0.8859,0.0303,3.6,23000,26000,10250,0.939999998,0.409999996,20.62000084,88024.49,75720.5,6.489999771,46,568,41500,38800
Franklin and Marshall College,3,3,Private,Mid-Atlantic,Small City,0.3931,2262,58518,0,0,0.6286,0.0451,0.0698,0.0424,0.0009,0,0.0177,0.1295,0.0027,58518,18944,9332,0.8361,0.1416,0.8735,0.9182,0.0044,2.3,23000,25000,10000,0.99000001,0.25,19.31999969,130432.83,113508,5.260000229,27,329,52000,47200
Bates College,3,3,Private,New England,Small City,0.2417,1791,59285,0,0,0.7219,0.0514,0.0625,0.0469,0.0034,0.0006,0.0396,0.0648,0,59285,21446,10374,0.8474,0.1112,0.9299,0.9163,0.0034,1.4,16425,17058,6700,0.959999979,0.270000011,19.54999924,118325.02,106531,5.800000191,16,216,57900,47600
Sarah Lawrence College,3,4,Private,Mid-Atlantic,Large Suburb,0.6166,1402,62636,0,0,0.577,0.0371,0.097,0.0414,0.0007,0.0014,0.0506,0.1113,0.0078,62636,20142,9806,0.3301,0.1944,0.6915,0.8256,0.0326,3.3,13126,14812,6375,0.99000001,0.270000011,21.76000023,90005.24,65944,7.360000134,51,296,39100,37700
California State University-Los Angeles,3,4,Public,Far West,Large City,0.6752,19525,14747,18,871,0.0812,0.0465,0.5965,0.1645,0.001,0.0029,0.016,0.0479,0.168,14747,6569,8767,0.4996,0.6447,0.3565,0.8206,0.2574,7.6,12000.5,14125,9834,0.560000002,0.829999983,24.20999908,27649.23,20015,17.51000023,591,4511,42200,39400
California State University-San Bernardino,3,4,Public,Far West,Mid-size City,0.5831,15887,17030,18,888,0.1743,0.0729,0.5549,0.0632,0.0025,0.0023,0.0283,0.0555,0.1065,17030,6585,8558,0.5046,0.5799,0.4112,0.8879,0.2094,9.7,16431,18482,12500,0.75,0.779999971,24.04000092,40191.82,28986.5,13.35999966,552,3762,42300,40600
Northeastern Illinois University,3,4,Public,Great Lakes,Large City,0.5981,8827,22273,19,890,0.3694,0.1022,0.3506,0.0947,0.0022,0.0031,0.0176,0.0358,0.431,22273,11837,6988,0.6473,0.4823,0.2034,0.61,0.448,6.7,11643.5,15000,8940,0.540000021,0.779999971,24.63999939,35049.57,25711.5,11.56000042,331,2059,35400,33100
University of Houston-Downtown,3,4,Public,Southwest,Large City,0.9509,13297,18879,19,894,0.18,0.2529,0.3947,0.0919,0.0044,0.0032,0.0092,0.052,0.483,18879,4306,7279,0.5322,0.4744,0.1408,0.6309,0.485,12.1,13000,21000,11461,0.720000029,0.790000021,24.62000084,32529.26,24928.5,13.43000031,372,2888,41300,38500
North Carolina A & T State University,3,4,Public,Southeast,Large City,0.6964,8577,15313,19,902,0.0429,0.8681,0.0208,0.0069,0.0034,0.001,0.0203,0.0178,0.0655,15313,9006,8227,0.7231,0.5878,0.4289,0.7977,0.1128,18,19843,23005.5,19500,0.949999988,0.709999979,20.61000061,50618.06,37668.5,10.72999954,341,3148,34100,29900
CUNY York College,3,4,Public,Mid-Atlantic,Large City,0.351,7361,13967,0,905,0.0693,0.4181,0.2285,0.2122,0.009,0.0096,0.0091,0.0442,0.3066,13967,8154,7001,0.3626,0.5399,0.2635,0.7415,0.2812,10.1,7000,10000,5500,0.230000004,0.930000007,24.18000031,25815.23,21863,16.60000038,276,1709,39100,35700
California State University-East Bay,3,4,Public,Far West,Mid-size City,0.6872,12079,20676,19,910,0.1843,0.1083,0.2546,0.2439,0.0016,0.0111,0.0572,0.0659,0.1301,20676,6978,8804,0.4163,0.4426,0.3808,0.7753,0.3269,5.8,12500,16312,11349.5,0.720000029,0.689999998,24.81999969,36865.24,22898,8.390000343,329,2361,48400,45800
Indiana State University,3,4,Public,Great Lakes,Small City,0.8306,10173,19549,19,910,0.6728,0.1821,0.0348,0.011,0.0024,0.0006,0.0297,0.0577,0.1033,19549,7430,7071,0.7051,0.4344,0.4159,0.6353,0.1549,10.7,11726.5,24193,9500,0.920000017,0.569999993,21.93000031,60917.09,52313,7.659999847,311,2836,35900,33100
California State University-Northridge,3,4,Public,Far West,Large City,0.4624,33581,20899,19,918,0.2575,0.0623,0.4029,0.1123,0.0017,0.0026,0.0335,0.0734,0.1618,20899,6952,8395,0.4602,0.4848,0.4575,0.782,0.1936,7.6,12500,15000,9000,0.680000007,0.769999981,22.63999939,39205.28,27373,12.93999958,968,7257,41900,38300
California State University-Fresno,3,4,Public,Far West,Large City,0.5815,19911,16377,19,920,0.2511,0.0404,0.4258,0.1566,0.0038,0.0025,0.0305,0.0344,0.1186,16377,6446,8027,0.5161,0.5407,0.4859,0.8323,0.1628,6.5,14500,16500,12000,0.699999988,0.800000012,22.36000061,40758.26,28781,16.06999969,537,4757,40700,38100
The University of Texas at El Paso,3,4,Public,Southwest,Large City,0.9981,19527,15272,20,923,0.0757,0.0269,0.8281,0.0075,0.0022,0.0012,0.0061,0.0489,0.3372,15272,6854,8167,0.7051,0.5802,0.3946,0.6989,0.257,9.8,12500,18250,10750,0.75999999,0.839999974,22.97999954,31959.81,22907,19.01000023,525,4251,37300,34300
